# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Aug 25 14:58:28 2012,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  order by pl_hostname asc,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#pl_hostname,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name
11 Com,b,326.03,1.29,0.231,19.4,,,,,185.179276,17.792868,110.62,4.74,4742,2.7,19.5,107383,60202
11 UMi,b,516.22,1.54,0.08,10.5,,,,,229.274536,71.823898,119.47,5.016,4340,1.8,24.08,136726,74793
14 And,b,185.84,0.83,0,4.8,,,,,352.822571,39.236198,76.39,5.22,4813,2.2,11,221345,116076
14 Her,b,1773.4,2.77,0.369,4.64,,,,,242.601303,43.817646,18.15,6.605,5311,0.9,,145675,79248
16 Cyg B,b,798.5,1.681,0.681,1.68,,,,,295.466553,50.517525,21.41,6.2,5674,0.99,1.16,186427,96901
18 Del,b,993.3,2.6,0.08,10.3,,,,,314.608063,10.839286,73.1,5.506,4979,2.3,8.5,199665,103527
24 Sex,b,452.8,1.333,0.09,1.99,,,,,155.86821,-0.902244,74.79,6.441,5098,1.54,4.9,90043,50887
24 Sex,c,883,2.08,0.29,0.86,,,,,155.86821,-0.902244,74.79,6.441,5098,1.54,4.9,90043,50887
30 Ari B,b,335.1,0.995,0.289,9.88,,,,,39.252182,24.647223,40.13,6.455,6152,1.16,1.13,16246,12189
4 Uma,b,269.3,0.87,0.432,7.1,,,,,130.053406,64.327934,77.4,4.61,4415,1.23,18.11,73108,42527
42 Dra,b,479.1,1.19,0.38,3.88,,,,,276.496399,65.563484,97.28,4.82,4200,0.98,22.03,170693,90344
47 Uma,b,1078,2.1,0.032,2.53,,,,,164.866562,40.430256,14.08,5.05,5882,1.08,1.23,95128,53721
47 Uma,c,2391,3.6,0.098,0.54,,,,,164.866562,40.430256,14.08,5.05,5882,1.08,1.23,95128,53721
