"Name of Satellite, Alternate Names"	Country of Operator/Owner	Operator/Owner	Users	Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																														
"ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)"	International	Asia Broadcast Satellite	Commercial	Communications	GEO		75.03	"35,777"	"35,794"	2.02E-04	0.01	1436.08	"2,894"	"1,730"	"6,800 (EOL)"	9/26/1999	15 yrs.	Lockheed Martin	USA	Baikonur Cosmodrome	Proton	1999-053A	25924	"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."		JM/12_08	http://www.washingtonpost.com/wp-dyn/articles/A18888-2004May11.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx551.html	http://www.interpsputnik.com/1mi1chars.shtml	http://www.intersputnik.com/press_270999.htm																																																																																																																																																																																																																																
"ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)"	International	Asia Broadcast Satellite	Commercial	Communications	GEO		116.54	"35,785"	"35,789"	4.74E-05	1.86	1436.13	"1,459"	800	"1,600"	1/14/1996	10 yrs.	Lockheed Martin Astro Space	USA	Cape Canaveral	Delta 2	1996-003A	23768	Korean peninsula; 15 Ku-band transponders.		JM/12_08	http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1996-003A	http://nssdc.gsfc.nasa.gov/spacewarn/spx507.html	http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat2.html	http://strategis.ic.gc.ca/epic/internet/inimr-ri.nsf/fr/gr-76375f.html	http://www.oosa.unvienna.org/Reports/Regdocs/ser304E.pdf	http://www.absatellite.net/about/index.html																																																																																																																																																																																																																														
"ABS-7 (Koreasat 3, Mugungwha 3)"	International	Asia Broadcast Satellite	Commercial	Communications	GEO		116.18	"35,780"	"35,791"	1.30E-04	0.01	1436.06	"3,500"	"1,800"	"4,800"	9/4/1999	15 yrs.	Lockheed Martin Astro Space	USA	Guiana Space Center	Ariane	1999-046A	25894	"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."		JM/12_08	http://www.planet4589.org/space/jsr/back/news.407	http://lmms.external.lmco.com/newsbureau/pressreleases/1999/99.202.html	http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat3.html			http://www.absatellite.net/about/index.html																																																																																																																																																																																																																														
AcrimSat (Active Cavity Radiometer Irradiance Monitor)	USA	"NASA Goddard Space Flight Center, Jet Propulsion Laboratory"	Government	Solar Physics	LEO	Sun-Synchronous	0	682	727	3.18E-03	98.2	98.86	115	13	10	12/21/1999	5 yrs.	Orbital Sciences Corp.	USA	Vandenberg AFB	Taurus	1999-070B	26033	Monitor total solar irradiance (TSI) with maximum precision; ascertain the extent of solar radiation variability.		JMSatcat304	http://www.ee.surrey.ac.uk/SSC/SSHP/mini/mini99.html	http://nssdc.gsfc.nasa/gov/spacewarn/spx554.html	http://acrim.jpl.nasa.gov/mission/mission_facts.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																
"AEHF-1 Advanced Extremely High Frequency satellite-1, USA 214)"	USA	US Air Force	Military	Communications	GEO		0	"4,732"	"49,970"	6.71E-01	15.07	1027.47	"6,169"			8/14/2010	14 yrs.	Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2010-039A	36868	"Constellation of 3 plus 1; will replace the Milstar system. This satellite's main engine failed right after launch, stranding it in a transfer orbit. It may reach its GEO orbit by summer 2011."		SC - ASCR	http://www.afspc.af.mil/library/factsheets/factsheet.asp?id=7758	http://www.universetoday.com/71280/aehf-1-rides-atlas-v-to-orbit/	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/039A.HTM	http://spaceflightnow.com/atlas/av019/100830orbit.html	http://www.bloomberg.com/news/2011-02-15/air-force-lockheed-negotiating-over-satellite-failure-cost.html																																																																																																																																																																																																																															
"Africasat-1 (Measat 1, Malaysia East Asia Sat 1)"	Malaysia	MEASAT Satellite Systems Sdn. Bhd.	Commercial	Communications	GEO		46.03	"35,784"	"35,787"	3.56E-05	1.12	1436.06	"1,450"	650	"1,200 (BOL)"	1/13/1996	12.2 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44L	1996-002B	23765	"Inclined orbit; digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 12 C-band, 5 Ku-band."		JM/12_08	http://www.boeing.com/defense-space/space/bss/factsheets/376/measat/measat.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx507.html	http://www.measat.com.my/company_profile.html	http://www.measat.com/investor_calender_1401.html		http://www.mlesat.com/Measat.html																																																																																																																																																																																																																														
Afristar 	USA	1Worldspace	Commercial	Communications	GEO		20.97	"35,770"	"35,802"	3.80E-04	0.03	1436.09	"2,704"	"1,530"	"5,500"	10/28/1998	15 yrs.	Matra Marconi Space-France	France	Guiana Space Center	Ariane 44L	1998-063A	25515	"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean."		JM/12_08	www.floridatoday.com/space/explore/stories/1998b/102898ac.htm	http://www.worldspace.com/coveragemaps/afristar.html	http://interglobal.org/frontier/10-30-98.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																
"Agila 2/ABS-5 (Agila 2, Mabuhay 1)"	International	Asia Broadcast Satellite	Commercial	Communications	GEO		146.06	"35,769"	"35,802"	3.91E-04	0.05	1436.07	"3,775"	"1,800"	"9,000"	8/19/1997	15 yrs.	Space Systems/Loral	USA	Xichang Satellite Launch Center	Long March CZ3B	1997-042A	24901	"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links."		JM/12_08	http://www.mabuhaysat.com/sat&net.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.absatellite.net/about/index.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																																
AGILE (Astro-rivelatore Gamma a Immagini Leggaro)	Italy	Italian Space Agency	Government	Scientific Research	LEO		0	523	553	2.17E-03	2.47	95.4	325			4/23/2007	3 yrs.	Carlo Gavazzi Space	Italy	Satish Dhawan Space Center	PSLV C8	2007-013A	31135	Italian gamma ray observatory.			http://agile.rm.iasf.cnr.it/	http://www.lib.cas.cz/www/space.40/2007/013A.HTM																																																																																																																																																																																																																																		
AIM (Aeronomy of Ice in Mesosphere)	USA	"Center for Atmospheric Sciences, Hampton University/NASA"	Government	Earth Science	LEO		0	586	601	1.08E-03	97.79	96.55	215	197	216	4/25/2007	2 yrs.	Orbital Sciences Corp.	USA	Vandenberg AFB	Pegasus XL	2007-015A	31304	Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.			http://aim.hamptonu.edu/	http://www.lib.cas.cz/www/space.40/2007/015A.HTM	http://www.nasa.gov/mission_pages/aim/index.html	http://www.lib.cas.cz/space.40/2011/044G.HTM																																																																																																																																																																																																																																
