#Country,Source Type,Date Time,Latitude,Longitude,Depth,Yield,Name,
USA,Atmospheric,07/16/1945 11:29:45,33.6753,-106.4747,-0.03,21,TRINITY,
USA,Atmospheric,08/05/1945 23:16:02,34.395,132.4538,-0.58,15,LITTLEBOY,
USA,Atmospheric,08/09/1945 02:02:00,32.7755,129.8631,-0.503,21,FATMAN,
USA,Atmospheric,06/30/1946 21:01:00,11.585,165.515,-0.16,21,ABLE:Crossroads,
USA,Underwater,07/24/1946 21:35:00,11.58,165.25,0.027,21,BAKER-CROSSROADS,
USA,Atmospheric,04/14/1948 18:16:59,11.667,162.241,-0.06,37,XRAY:Sandstone,
USA,Atmospheric,04/30/1948 18:08:59,11.62,162.317,-0.06,49,YOKE:Sandstone,
USA,Atmospheric,05/14/1948 18:04:00,11.544,162.354,-0.06,18,ZEBRA:Sandstone,
SOV,Atmospheric,08/29/1949 00:00:00,50.438,77.814,-0.03,22,,
USA,Atmospheric,01/27/1951 13:44:51,36.822,-115.966,-0.32,1,ABLE:Ranger,
USA,Atmospheric,01/28/1951 13:52:04,36.822,-115.966,-0.33,8,BAKER:Ranger,
USA,Atmospheric,02/01/1951 13:46:39,36.822,-115.966,-0.33,1,EASY:Ranger,
USA,Atmospheric,02/02/1951 13:48:48,36.822,-115.966,-0.34,8,BAKER-2:Ranger,
USA,Atmospheric,02/06/1951 13:46:55,36.822,-115.966,-0.44,22,FOX:Ranger,
USA,Atmospheric,04/07/1951 17:33:58,11.544,162.354,-0.09,81,DOG:Greenhouse,
USA,Atmospheric,04/20/1951 17:27:00,11.667,162.241,-0.09,47,EASY:Greenhouse,
USA,Atmospheric,05/08/1951 20:30:01,11.624,162.304,-0.06,225,GEORGE:Greenhouse,
USA,Atmospheric,05/24/1951 17:16:59,11.667,162.241,-0.06,45.5,ITEM:Greenhouse,
SOV,Atmospheric,09/24/1951 06:19:00,50.438,77.814,-0.03,38,,
SOV,Atmospheric,10/18/1951 03:53:00,50.438,77.814,,42,,
USA,Atmospheric,10/22/1951 14:00:00,37.0839,-116.0239,-0.03,,ABLE:Buster,
USA,Atmospheric,10/28/1951 15:20:09,37.085,-116.02,-0.34,3.5,BAKER:Buster,
USA,Atmospheric,10/30/1951 15:00:30,37.085,-116.0203,-0.35,14,CHARLIE:Buster,
USA,Atmospheric,11/01/1951 15:30:02,37.0847,-116.0197,-0.43,21,DOG:Buster,
USA,Atmospheric,11/05/1951 16:29:58,37.0919,-116.0244,-0.4,31,EASY:Buster,
USA,Atmospheric,11/19/1951 17:00:00,37.1317,-116.0386,0,1.2,SUGAR:Jangle,
USA,Underground,11/29/1951 20:00:00,37.168,-116.043,0.005,1.2,UNCLE,US Yucca Flat
USA,Atmospheric,04/01/1952 17:00:08,36.7983,-115.9356,-0.24,1,ABLE:Tumbler-Snapper,
USA,Atmospheric,04/15/1952 17:29:57,37.0842,-116.0194,-0.34,1,BAKER:Tumbler-Snapper,
USA,Atmospheric,04/22/1952 17:30:10,37.0844,-116.0203,-1.05,31,CHARLIE:Tumbler-Snapper,
USA,Atmospheric,05/01/1952 16:29:59,37.0842,-116.0203,-0.32,19,DOG:Tumbler-Snapper,
USA,Atmospheric,05/07/1952 12:14:59,37.0531,-116.1056,-0.09,12,EASY:Tumbler-Snapper,
USA,Atmospheric,05/25/1952 12:00:00,37.0956,-116.1056,-0.09,11,FOX:Tumbler-Snapper,
USA,Atmospheric,06/01/1952 11:55:00,37.0481,-116.0211,-0.09,15,GEORGE:Tumbler-Snapper,
USA,Atmospheric,06/05/1952 11:55:00,37.1386,-116.1178,-0.09,14,HOW:Tumbler-Snapper,
GBR,Atmospheric,10/03/1952 00:59:24,-20.4,115.57,0,25,HURRICANE,
USA,Atmospheric,10/31/1952 19:14:59,11.667,162.189,-0.01,10400,MIKE:Ivy,
USA,Atmospheric,11/15/1952 23:30:00,11.555,162.345,-0.45,500,KING:Ivy,
USA,Atmospheric,03/17/1953 13:20:00,37.0478,-116.0211,-0.09,16,ANNIE:Upshot-Knothole,
USA,Atmospheric,03/24/1953 13:10:00,37.0956,-116.1028,-0.09,24,NANCY:Upshot-Knothole,
USA,Atmospheric,03/31/1953 13:00:00,37.0828,-116.0239,-0.09,0.2,RUTH:Upshot-Knothole,
USA,Atmospheric,04/06/1953 15:29:38,37.0847,-116.018,-1.83,11,DIXIE:Upshot-Knothole,
USA,Atmospheric,04/11/1953 12:45:00,37.0989,-116.0925,-0.03,0.2,RAY:Upshot-Knothole,
USA,Atmospheric,04/18/1953 12:35:00,37.1383,-116.1178,-0.09,23,BADGER:Upshot-Knothole,
USA,Atmospheric,04/25/1953 12:30:00,37.0531,-116.1028,-0.09,43,SIMON:Upshot-Knothole,
USA,Atmospheric,05/08/1953 15:29:55,36.7931,-115.9147,-0.74,27,ENCORE:Upshot-Knothole,
USA,Atmospheric,05/19/1953 12:04:59,37.0403,-116.0253,-0.09,32,HARRY:Upshot-Knothole,
USA,Atmospheric,05/25/1953 15:30:00,36.7931,-115.9147,-0.16,15,GRABLE:Upshot-Knothole,
USA,Atmospheric,06/04/1953 11:14:57,37.0875,-116.0183,-0.41,61,CLIMAX:Upshot-Knothole,
SOV,Atmospheric,08/12/1953 00:00:00,50.438,77.814,-0.03,400,,
SOV,Atmospheric,08/23/1953 02:00:00,50.438,77.814,,28,,
SOV,Atmospheric,09/03/1953 00:00:00,50.438,77.814,,5.8,,
SOV,Atmospheric,09/08/1953 00:00:00,50.438,77.814,,1.6,,
SOV,Atmospheric,09/10/1953 00:00:00,50.438,77.814,,4.9,,
GBR,Atmospheric,10/14/1953 21:30:00,-28.6986,132.3714,-0.031,9.1,TOTEM 1,
GBR,Atmospheric,10/26/1953 21:30:00,-28.7122,132.3772,-0.031,7.1,TOTEM 2,
USA,Atmospheric,02/28/1954 18:45:00,11.698,165.274,0,15000,BRAVO:Castle,
USA,Atmospheric,03/26/1954 18:30:00,11.698,165.274,0,11000,ROMEO:Castle,
USA,Atmospheric,04/06/1954 18:20:00,11.503,165.371,0,110,KOON:Castle,
USA,Atmospheric,04/25/1954 18:10:01,11.68,165.39,0,6900,UNION:Castle,
USA,Atmospheric,05/04/1954 18:10:00,11.68,165.39,0,13500,YANKEE:Castle,
USA,Atmospheric,05/13/1954 18:20:00,11.667,162.189,0,1690,NECTAR:Castle,
SOV,Atmospheric,09/14/1954 06:33:00,52.6,52.84,-0.35,40,Totsk,
SOV,Atmospheric,09/29/1954 00:00:00,50.438,77.814,,0.2,,
SOV,Atmospheric,10/01/1954 00:00:00,50.438,77.814,,0.03,,
SOV,Atmospheric,10/03/1954 00:00:00,50.438,77.814,,2,,
SOV,Atmospheric,10/05/1954 03:00:00,50.438,77.814,0,4,,
SOV,Atmospheric,10/08/1954 00:00:00,50.438,77.814,,0.8,,
SOV,Atmospheric,10/19/1954 00:00:00,50.438,77.814,-0.015,,,
SOV,Atmospheric,10/23/1954 00:00:00,50.438,77.814,,62,,
SOV,Atmospheric,10/26/1954 00:00:00,50.438,77.814,,2.8,,
SOV,Atmospheric,10/30/1954 04:00:00,50.438,77.814,-0.05,10,,
USA,Atmospheric,02/18/1955 19:59:59,37.0867,-116.0219,-0.23,1,WASP:Teapot,
USA,Atmospheric,02/22/1955 13:45:00,37.0478,-116.0211,-0.09,2,MOTH:Teapot,
USA,Atmospheric,03/01/1955 13:30:00,37.1255,-116.0475,-0.09,7,TESLA:Teapot,
USA,Atmospheric,03/07/1955 13:20:00,37.1383,-116.1175,-0.15,43,TURK:Teapot,
USA,Atmospheric,03/12/1955 13:20:00,37.0403,-116.0253,-0.09,4,HORNET:Teapot,
USA,Atmospheric,03/22/1955 13:05:00,37.0947,-116.0239,-0.15,8,BEE:Teapot,
USA,Underground,03/23/1955 20:30:00,37.17,-116.045,0.019,1,ESS,US Yucca Flat
USA,Atmospheric,03/29/1955 12:55:00,37.0956,-116.1028,-0.15,14,APPLE-1:Teapot,
USA,Atmospheric,03/29/1955 17:59:55,37.0867,-116.0219,-0.23,3,WASP PRIME:Teapot,
USA,Atmospheric,04/06/1955 18:00:04,37.0286,-116.0578,-11.16,3,HA :Teapot,
USA,Atmospheric,04/09/1955 12:30:00,37.1222,-116.0344,-0.09,2,POST:Teapot,
USA,Atmospheric,04/15/1955 19:15:00,36.7981,-115.9289,-0.12,22,MET:Teapot,
USA,Atmospheric,05/05/1955 12:10:00,37.0531,-116.1025,-0.15,29,APPLE-2:Teapot,
USA,Underwater,05/14/1955 20:00:00,28.733,-126.268,0.61,30,WIGWAM,
USA,Atmospheric,05/15/1955 12:00:00,37.0947,-116.0239,-0.15,28,ZUCCHINI:Teapot,
SOV,Atmospheric,07/29/1955 02:00:00,50.438,77.814,-0.003,1.3,,
SOV,Atmospheric,08/02/1955 03:00:00,50.438,77.814,-0.003,12,,
SOV,Atmospheric,08/05/1955 00:00:00,50.438,77.814,-0.002,1.2,,
SOV,Underwater,09/21/1955 05:00:54,70.703,54.6,0.012,3.5,,Novaya Zemlya
USA,Atmospheric,11/01/1955 22:10:00,36.984,-115.961,0,,PROJECT 56 NO.1:Project 56,
USA,Atmospheric,11/03/1955 21:15:00,36.98,-115.959,0,,PROJECT 56 NO.2:Project 56,
USA,Atmospheric,11/05/1955 19:55:00,36.975,-115.957,0,,PROJECT 56 NO.3:Project 56,
SOV,Atmospheric,11/06/1955 04:50:00,50.438,77.814,,250,,
SOV,Atmospheric,11/22/1955 00:00:00,50.438,77.814,,1600,,
USA,Atmospheric,01/18/1956 21:30:00,36.971,-115.955,0,,PROJECT 56 NO.4:Project 56,
SOV,Atmospheric,02/02/1956 00:00:00,46,62,0,0.3,Aralsk,
SOV,Atmospheric,03/16/1956 05:00:00,50.438,77.814,0,14,,
SOV,Atmospheric,03/25/1956 00:00:00,50.438,77.814,-0.001,5.5,,
USA,Atmospheric,05/04/1956 18:25:30,11.554,162.348,0,40,LACROSSE:Redwing,
GBR,Atmospheric,05/16/1956 03:50:00,-20.23,115.55,-0.031,15,MOSAIC G1,
USA,Atmospheric,05/20/1956 17:50:39,11.71,165.3,-1.32,3800,CHEROKEE:Redwing,
USA,Atmospheric,05/27/1956 17:56:00,11.503,165.371,0,3500,ZUNI:Redwing,
USA,Atmospheric,05/27/1956 18:56:00,11.62,162.317,,0.19,YUMA:Redwing,
USA,Atmospheric,05/30/1956 18:15:29,11.544,162.354,-0.09,14.9,ERIE:Redwing,
USA,Atmospheric,06/06/1956 00:55:30,11.673,162.207,0,13.7,SEMINOLE:Redwing,
USA,Atmospheric,06/11/1956 18:26:00,11.68,165.39,0,365,FLATHEAD:Redwing,
USA,Atmospheric,06/11/1956 18:26:00,11.544,162.354,-0.06,8,BLACKFOOT:Redwing,
USA,Atmospheric,06/13/1956 23:26:00,11.62,162.317,,1.49,KICKAPOO:Redwing,
USA,Atmospheric,06/16/1956 01:13:53,11.544,162.354,-0.21,1.7,OSAGE:Redwing,
GBR,Atmospheric,06/19/1956 02:14:00,-20.4,115.53,-0.031,98,MOSAIC G2,
USA,Atmospheric,06/21/1956 21:26:00,11.627,162.297,,15.2,INCA:Redwing,
USA,Atmospheric,06/25/1956 18:06:00,11.68,165.39,0,1100,DAKOTA:Redwing,
USA,Atmospheric,07/02/1956 18:06:00,11.624,162.304,,360,MOHAWK:Redwing,
USA,Atmospheric,07/08/1956 18:06:00,11.667,162.189,0,1850,APACHE:Redwing,
USA,Atmospheric,07/10/1956 17:56:00,11.68,165.39,0,4500,NAVAJO:Redwing,
USA,Atmospheric,07/20/1956 17:46:00,11.68,165.34,0,5000,TEWA:Redwing,
USA,Atmospheric,07/21/1956 18:16:00,11.667,162.189,0,250,HURON:Redwing,
SOV,Atmospheric,08/24/1956 00:15:00,50.438,77.814,-0.1,27,,
SOV,Atmospheric,08/30/1956 00:00:00,50.438,77.814,,900,,
SOV,Atmospheric,09/02/1956 00:00:00,50.438,77.814,,51,,
SOV,Atmospheric,09/10/1956 00:00:00,50.438,77.814,,38,,
GBR,Atmospheric,09/27/1956 07:30:00,-29.87,131.658,-0.031,15,One Tree,
GBR,Atmospheric,10/04/1956 07:00:00,-29.883,131.623,0,1.5,Marcoo,
GBR,Atmospheric,10/11/1956 05:57:00,-28.89,131.648,-0.15,3,Kite,
GBR,Atmospheric,10/22/1956 14:35:00,-29.895,131.604,-0.034,10,Breakaway,
SOV,Atmospheric,11/17/1956 00:00:00,50.438,77.814,,900,,
SOV,Atmospheric,12/14/1956 00:00:00,50.438,77.814,,40,,
SOV,Atmospheric,01/19/1957 00:00:00,49,46,-10.4,10,,
SOV,Atmospheric,03/08/1957 00:00:00,50.438,77.814,,19,,
SOV,Atmospheric,04/03/1957 00:00:00,50.438,77.814,,42,,
